"BehaviorSpace results (NetLogo 6.2.2)"
"Modelo-Melhorado.nlogo"
"experiment"
"10/30/2022 15:37:48:802 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","1","1","1"
"n_basics","30",,
"n_experts","10",,
"percentagem_alimento_verde","5",,
"gems","10",,
"percentagem_alimento_amarelo","5",,
"abrigos","5",,
"percentagem_armadilhas","2",,
"[reporter]","count basics","count experts","count mages"
"[final]","545","0","10"
"[min]","17","0","0"
"[max]","557","16","10"
"[mean]","194.475","2.728","9.02"
"[steps]","999","999","999"

"[all run data]","count basics","count experts","count mages"
,"289","0","10"
,"293","0","10"
,"290","0","10"
,"292","0","10"
,"296","0","10"
,"300","0","10"
,"305","0","10"
,"306","0","10"
,"307","0","10"
,"304","0","10"
,"306","0","10"
,"301","0","10"
,"299","0","10"
,"299","0","10"
,"305","0","10"
,"309","0","10"
,"311","0","10"
,"315","0","10"
,"315","0","10"
,"316","0","10"
,"317","0","10"
,"321","0","10"
,"322","0","10"
,"320","0","10"
,"320","0","10"
,"320","0","10"
,"323","0","10"
,"326","0","10"
,"328","0","10"
,"332","0","10"
,"333","0","9"
,"335","0","10"
,"338","0","10"
,"344","0","10"
,"347","0","10"
,"350","0","10"
,"352","0","10"
,"353","0","10"
,"351","0","10"
,"358","0","10"
,"361","0","10"
,"357","0","10"
,"361","0","10"
,"368","0","9"
,"371","0","9"
,"374","0","9"
,"377","0","9"
,"374","0","9"
,"373","0","9"
,"376","0","9"
,"381","0","9"
,"386","0","10"
,"389","0","10"
,"384","0","10"
,"382","0","10"
,"382","0","10"
,"387","0","10"
,"389","0","10"
,"395","0","10"
,"396","0","10"
,"400","0","10"
,"402","0","10"
,"403","0","10"
,"400","0","10"
,"406","0","10"
,"400","0","10"
,"401","0","10"
,"407","0","10"
,"411","0","10"
,"415","0","10"
,"416","0","10"
,"414","0","10"
,"409","0","10"
,"405","0","10"
,"407","0","9"
,"408","0","9"
,"409","0","10"
,"412","0","10"
,"412","0","10"
,"407","0","10"
,"403","0","10"
,"394","0","10"
,"392","0","10"
,"392","0","10"
,"393","0","10"
,"392","0","10"
,"393","0","10"
,"396","0","10"
,"401","0","9"
,"402","0","8"
,"403","0","7"
,"401","0","9"
,"405","0","9"
,"408","0","9"
,"409","0","10"
,"408","0","9"
,"407","0","9"
,"411","0","10"
,"406","0","10"
,"405","0","10"
,"407","0","10"
,"404","0","10"
,"403","0","10"
,"407","0","10"
